sweep,xi,d2,L,N,T,rm,sigma0_hi,a,s0bar,K1,K2,kappa,A,mass_int,mean_int,vmean_int,mmin,stationarity_u,stationarity_v,stationarity_w,stationarity_max,comparison_interval,solver_success,nfev,njev,nlu
phase,8.0,0.08,10.0,200,300.0,1.2,3.0,3.8,0.72,0.1525633543210253,0.3303559975141035,0.39921932483612255,0.6591812529237333,3.0164481633656814,0.3969010741270633,0.7186082493836768,0.0,5.9258667401971915e-15,3.997874677325933e-15,7.779929968088952e-15,7.779929968088952e-15,5.0847457627118615,True,5660,93,454
phase,8.0,0.08,10.0,200,300.0,1.2,3.2,3.8,0.7680000000000001,0.1550455126074407,0.35150579508956836,0.39313887407524534,0.6693764267292344,2.924984629326099,0.38486639859553934,0.7522302125539406,0.0,1.3271017160659385e-13,2.0908161671920385e-14,8.941768712437173e-14,1.3271017160659385e-13,5.0847457627118615,True,6143,100,486
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,0.8,3.45,0.248,0.09642964034560109,0.08235191104536965,0.6096034030530619,0.4754813884110456,5.079830099376964,0.7362072607792701,0.2621542810160604,0.0,2.255721759210779e-14,5.4155211758926824e-14,3.480926881904418e-14,5.4155211758926824e-14,5.0847457627118615,True,1751,14,129
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,1.0,3.45,0.31,0.11754205522303829,0.11220376975315527,0.5096285519016932,0.5687575222819949,4.41599239168444,0.639998897345571,0.35851933517665585,0.0,2.8927601897949655e-13,1.6705718131157476e-13,3.7630285627073127e-13,3.7630285627073127e-13,5.0847457627118615,True,2092,17,150
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,1.2000000000000002,3.45,0.37200000000000005,0.13422319966623075,0.1440281158538559,0.4505205681793009,0.6433781117589504,3.781630926969942,0.5480624531840496,0.4515989110186484,0.0,3.7362173421541496e-12,1.592475474772141e-12,5.209777449850834e-12,5.209777449850834e-12,5.0847457627118615,True,2488,19,175
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,1.4000000000000001,3.45,0.43400000000000005,0.1368095615677245,0.1774725485561235,0.44252544631994545,0.6550020453608065,3.466675862083247,0.5024167916062676,0.5020177171832378,0.0,1.1777432149571457e-12,1.6044355311603499e-12,2.0644392306994796e-12,2.0644392306994796e-12,5.0847457627118615,True,2621,18,185
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,1.6,3.45,0.496,0.1408189431964041,0.21033985928866072,0.4306615630305974,0.6730460699209756,3.219836427491999,0.4666429605060868,0.5475167719859234,0.0,8.74016722959171e-15,4.414967136287303e-15,2.1324402864135547e-15,8.74016722959171e-15,5.0847457627118615,True,2831,17,190
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,1.8,3.45,0.5579999999999999,0.14389310617649365,0.24198652705751944,0.4219755088531174,0.6869002261566365,3.016432164084926,0.43716408175143856,0.5909618082099392,0.0,2.3549906297804505e-14,1.0664248704009582e-14,8.198148445311877e-15,2.3549906297804505e-14,5.0847457627118615,True,3070,18,200
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,2.0,3.45,0.62,0.14721033940780837,0.2739231892529448,0.4129771005795563,0.7018671787297566,2.845508144162024,0.41239248466116285,0.6330347765470745,0.0,7.04464015070513e-14,1.7144766002947516e-14,8.40368094501405e-14,8.40368094501405e-14,5.0847457627118615,True,3393,25,222
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,2.2,3.45,0.682,0.1506159488544373,0.30151349847663544,0.40411970387180113,0.7172505316784029,2.699458868677355,0.39122592299671805,0.6740613443686538,0.0,8.257342184447981e-14,2.151092827429162e-14,5.143511022038599e-14,8.257342184447981e-14,5.0847457627118615,True,4150,56,318
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,2.4000000000000004,3.45,0.7440000000000001,0.15389322232801983,0.32933933494456724,0.3959389661796167,0.7320700845904519,2.572834102543201,0.37287450761495666,0.7142282716467158,0.0,1.3367075807210061e-14,6.689497009031268e-15,6.756547912324892e-15,1.3367075807210061e-14,5.0847457627118615,True,4818,65,373
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,2.6,3.45,0.8059999999999999,0.15702228378660366,0.35382345621616795,0.388424269461167,0.7462331662896945,2.46167939513557,0.35676512972979274,0.7536548738235044,0.0,6.7269474337061725e-15,9.387892908321019e-15,3.0492566534363835e-14,3.0492566534363835e-14,5.0847457627118615,True,5419,84,424
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,2.8,3.45,0.868,0.15995116575420076,0.3747293784224448,0.38163848556838353,0.7595016839878711,2.3630745458048197,0.34247457185577096,0.7924248787369017,0.0,1.6752233572536083e-13,4.4635863905797935e-14,5.221699620574957e-14,1.6752233572536083e-13,5.0847457627118615,True,5867,95,460
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,3.0,3.45,0.93,0.16273560746423388,0.3954458247843351,0.37539883318915696,0.7721256616631921,2.274819146622162,0.3296839342930669,0.8306018676072241,0.0,4.389259540918664e-15,8.984401183087951e-15,2.947611478689005e-14,2.947611478689005e-14,5.0847457627118615,True,6329,99,495
phase,8.0,0.08,10.0,200,300.0,1.5499999999999998,3.2,3.45,0.992,0.16543605987226484,0.4167482832918401,0.36953514148765215,0.7843775595925386,2.1952217068254494,0.3181480734529637,0.8682371001134744,0.0,1.1680121295317876e-14,1.7951685425154683e-14,4.8853523146217614e-14,4.8853523146217614e-14,5.0847457627118615,True,6772,113,546
phase,8.0,0.08,10.0,200,300.0,1.9,0.8,3.1,0.304,0.10112260294614261,0.08677513672356585,0.5842999840310836,0.5520805305107276,4.248056783059598,0.6851704488805802,0.3131071252593093,0.0,9.661374678021172e-14,5.457149472965894e-14,1.3705909551326124e-13,1.3705909551326124e-13,5.0847457627118615,True,1747,12,128
phase,8.0,0.08,10.0,200,300.0,1.9,1.0,3.1,0.38,0.13004119561988464,0.11856334669606006,0.4640568843813031,0.6951316875545681,3.381698944114711,0.5454353135668888,0.4533208483385886,0.0,7.660061917234722e-11,4.148892348356097e-11,9.689857097121935e-11,9.689857097121935e-11,5.0847457627118615,True,2384,17,162
